,year,mmwr_week,Reporting Area,Lyme disease current week,Lyme disease previous 52 weeks median ,Lyme disease previous 52 weeks maximum ,Lyme disease cummulative for 2015,Lyme disease cummulative for 2014,Malaria current week,Malaria previous 52 weeks median ,Malaria previous 52 weeks maximum ,Malaria cummulative for 2015,Malaria cummulative for 2014,"Meningococcal diseases, invasive�, All groups current week","Meningococcal diseases, invasive�, All groups previous 52 weeks median ","Meningococcal diseases, invasive�, All groups previous 52 weeks maximum ","Meningococcal diseases, invasive�, All groups cummulative for 2015","Meningococcal diseases, invasive�, All groups cummulative for 2014"
62,2015,1,Miss.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
63,2015,1,Tenn.,0,0,3,0,0,0,0,2,0,1,0,0,2,0,1
64,2015,1,W.S. CENTRAL,0,0,6,0,0,0,2,10,0,0,0,0,4,0,1
65,2015,1,Ark.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
66,2015,1,La.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
67,2015,1,Okla.,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0
68,2015,1,Tex.,0,0,5,0,0,0,1,9,0,0,0,0,3,0,0
69,2015,1,MOUNTAIN,0,1,7,0,1,0,1,6,0,1,0,0,3,0,3
70,2015,1,Ariz.,0,0,5,0,0,0,0,3,0,0,0,0,2,0,1
71,2015,1,Colo.,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2
72,2015,1,Idaho,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
73,2015,1,Mont.,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0
74,2015,1,Nev.,0,0,2,0,1,0,0,2,0,0,0,0,1,0,0
75,2015,1,N. Mex.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
76,2015,1,Utah,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0
77,2015,1,Wyo.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78,2015,1,PACIFIC,0,2,5,0,2,0,3,6,0,3,0,1,6,0,3
79,2015,1,Alaska,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
80,2015,1,Calif.,0,0,3,0,1,0,1,4,0,3,0,1,5,0,0
81,2015,1,Hawaii,N,0,0,N,N,0,0,1,0,0,0,0,1,0,0
82,2015,1,Oreg.,0,1,3,0,1,0,0,2,0,0,0,0,3,0,3
83,2015,1,Wash.,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0
84,2015,1,Amer. Samoa,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
85,2015,1,C.N.M.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2015,1,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2015,1,P.R.,N,0,0,N,N,0,0,1,0,0,0,0,1,0,0
88,2015,1,V.I.,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
102,2015,1,,,,,,,,,,,,,,,,
22,2015,2,UNITED STATES,28,393,"1,819",74,323,8,24,52,15,46,2,7,16,6,26
23,2015,2,NEW ENGLAND,1,124,733,2,126,0,2,7,0,2,0,0,2,0,0
24,2015,2,Conn.,0,30,176,1,29,0,0,2,0,0,0,0,1,0,0
25,2015,2,Maine,0,15,93,0,7,0,0,1,0,1,0,0,1,0,0
26,2015,2,Mass.,0,42,419,0,60,0,1,5,0,1,0,0,1,0,0
27,2015,2,N.H.,0,5,67,0,12,0,0,2,0,0,0,0,0,0,0
28,2015,2,R.I.,0,9,83,0,0,0,0,3,0,0,0,0,1,0,0
29,2015,2,Vt.,1,8,48,1,18,0,0,2,0,0,0,0,0,0,0
30,2015,2,MID. ATLANTIC,17,187,922,50,143,3,7,24,6,14,0,1,3,0,0
31,2015,2,N.J.,0,39,191,2,56,0,1,5,0,3,0,0,1,0,0
32,2015,2,N.Y. (Upstate),7,46,171,9,5,1,1,4,2,0,0,0,2,0,0
33,2015,2,N.Y. City,0,3,441,1,0,2,3,16,2,9,0,0,2,0,0
34,2015,2,Pa.,10,79,603,38,82,0,1,6,2,2,0,0,2,0,0
35,2015,2,E.N. CENTRAL,1,13,128,2,17,0,2,8,1,6,0,1,4,0,1
36,2015,2,Ill.,0,1,20,0,0,0,1,4,0,3,0,0,2,0,0
37,2015,2,Ind.,0,1,11,0,0,0,0,3,0,0,0,0,1,0,0
38,2015,2,Mich.,0,1,13,1,2,0,0,2,0,1,0,0,2,0,0
39,2015,2,Ohio,1,1,10,1,0,0,1,3,1,2,0,0,2,0,0
40,2015,2,Wis.,0,10,97,0,15,0,0,2,0,0,0,0,1,0,1
41,2015,2,W.N. CENTRAL,0,2,23,0,3,0,1,4,0,4,0,0,2,0,3
42,2015,2,Iowa,0,1,20,0,0,0,0,2,0,0,0,0,1,0,1
43,2015,2,Kans.,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0
44,2015,2,Minn.,0,0,0,0,3,0,0,0,0,2,0,0,1,0,1
45,2015,2,Mo.,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1
46,2015,2,Nebr.,0,0,4,0,0,0,0,2,0,1,0,0,0,0,0
47,2015,2,N. Dak.,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0
48,2015,2,S. Dak.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
49,2015,2,S. ATLANTIC,9,45,186,20,28,3,7,18,5,8,1,2,6,5,7
50,2015,2,Del.,1,6,24,2,7,0,0,1,0,0,0,0,1,0,0
51,2015,2,D.C.,0,0,4,0,2,0,0,2,0,0,0,0,1,0,0
52,2015,2,Fla.,2,2,12,3,1,1,1,4,2,1,0,1,4,2,3
53,2015,2,Ga.,0,0,1,0,0,0,1,5,0,3,0,0,2,0,1
54,2015,2,Md.,3,15,62,6,16,1,2,9,2,2,1,0,1,1,0
55,2015,2,N.C.,2,0,78,2,0,1,0,8,1,0,0,0,3,0,2
56,2015,2,S.C.,0,0,3,0,1,0,0,1,0,1,0,0,2,0,0
57,2015,2,Va.,1,17,108,4,1,0,1,5,0,1,0,0,2,2,1
58,2015,2,W. Va.,0,2,15,3,0,0,0,1,0,0,0,0,1,0,0
59,2015,2,E.S. CENTRAL,0,1,10,0,1,0,1,5,1,2,0,0,2,0,1
60,2015,2,Ala.,0,0,7,0,0,0,0,3,1,0,0,0,1,0,0
61,2015,2,Ky.,0,0,5,0,1,0,0,2,0,0,0,0,1,0,0
62,2015,2,Miss.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
63,2015,2,Tenn.,0,0,3,0,0,0,0,2,0,2,0,0,2,0,1
64,2015,2,W.S. CENTRAL,0,0,6,0,0,1,2,10,1,2,0,0,4,0,1
65,2015,2,Ark.,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
66,2015,2,La.,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
67,2015,2,Okla.,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0
68,2015,2,Tex.,0,0,5,0,0,1,1,9,1,0,0,0,3,0,0
69,2015,2,MOUNTAIN,0,1,7,0,2,0,1,6,0,4,0,0,3,0,4
70,2015,2,Ariz.,0,0,5,0,0,0,0,3,0,2,0,0,2,0,1
71,2015,2,Colo.,0,0,0,0,0,0,0,3,0,1,0,0,1,0,2
72,2015,2,Idaho,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
73,2015,2,Mont.,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0
74,2015,2,Nev.,0,0,2,0,1,0,0,2,0,0,0,0,1,0,0
75,2015,2,N. Mex.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
76,2015,2,Utah,0,0,2,0,1,0,0,1,0,1,0,0,1,0,0
77,2015,2,Wyo.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78,2015,2,PACIFIC,0,2,5,0,3,1,3,7,1,4,1,1,6,1,9
79,2015,2,Alaska,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
80,2015,2,Calif.,0,0,3,0,1,0,1,5,0,4,0,1,5,0,3
81,2015,2,Hawaii,N,0,0,N,N,0,0,1,0,0,0,0,1,0,0
82,2015,2,Oreg.,0,1,3,0,2,1,0,2,1,0,1,0,2,1,6
83,2015,2,Wash.,0,0,2,0,0,0,0,3,0,0,0,0,4,0,0
84,2015,2,Amer. Samoa,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
85,2015,2,C.N.M.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2015,2,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2015,2,P.R.,N,0,0,N,N,0,0,1,0,0,0,0,1,0,0
88,2015,2,V.I.,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
102,2015,2,,,,,,,,,,,,,,,,
22,2015,3,UNITED STATES,33,400,"1,827",159,530,8,23,55,24,77,2,7,16,11,35
23,2015,3,NEW ENGLAND,0,121,734,9,252,0,1,7,0,6,0,0,2,0,0
24,2015,3,Conn.,0,30,176,1,47,0,0,2,0,0,0,0,1,0,0
25,2015,3,Maine,0,16,94,2,12,0,0,1,0,1,0,0,1,0,0
26,2015,3,Mass.,0,43,421,0,154,0,1,5,0,3,0,0,1,0,0
27,2015,3,N.H.,0,5,67,0,19,0,0,1,0,2,0,0,0,0,0
28,2015,3,R.I.,0,11,83,0,0,0,0,3,0,0,0,0,1,0,0
29,2015,3,Vt.,0,8,48,6,20,0,0,2,0,0,0,0,0,0,0
30,2015,3,MID. ATLANTIC,28,187,928,109,204,2,7,24,8,22,0,1,3,0,0
31,2015,3,N.J.,1,39,191,13,75,0,1,5,0,3,0,0,1,0,0
32,2015,3,N.Y. (Upstate),8,46,171,17,16,2,1,4,4,1,0,0,2,0,0
33,2015,3,N.Y. City,7,3,441,8,0,0,3,16,2,13,0,0,2,0,0
34,2015,3,Pa.,12,81,609,71,113,0,1,7,2,5,0,0,2,0,0
35,2015,3,E.N. CENTRAL,0,13,129,2,22,2,2,8,3,8,0,1,4,0,1
36,2015,3,Ill.,0,1,20,0,1,0,1,4,0,3,0,0,2,0,0
37,2015,3,Ind.,0,1,11,0,0,0,0,3,0,0,0,0,1,0,0
38,2015,3,Mich.,0,1,13,1,2,0,0,2,0,2,0,0,2,0,0
39,2015,3,Ohio,0,1,10,1,0,2,0,3,3,3,0,0,2,0,0
40,2015,3,Wis.,0,10,97,0,19,0,0,2,0,0,0,0,1,0,1
41,2015,3,W.N. CENTRAL,1,2,23,1,4,0,1,4,2,7,0,0,2,0,4
42,2015,3,Iowa,0,1,20,0,0,0,0,2,0,2,0,0,1,0,1
43,2015,3,Kans.,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0
44,2015,3,Minn.,0,0,0,0,3,0,0,0,0,2,0,0,1,0,2
45,2015,3,Mo.,0,0,2,0,0,0,0,1,2,1,0,0,1,0,1
46,2015,3,Nebr.,1,0,4,1,1,0,0,2,0,1,0,0,0,0,0
47,2015,3,N. Dak.,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0
48,2015,3,S. Dak.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
49,2015,3,S. ATLANTIC,3,48,188,35,41,3,7,19,7,17,1,2,6,8,10
50,2015,3,Del.,0,6,24,3,10,0,0,1,0,0,0,0,1,0,0
51,2015,3,D.C.,0,0,4,0,2,0,0,2,0,0,0,0,1,0,0
52,2015,3,Fla.,0,2,12,3,3,2,1,4,4,2,0,1,4,3,4
53,2015,3,Ga.,0,0,1,0,0,0,1,5,0,6,0,0,2,0,2
54,2015,3,Md.,0,15,82,14,23,0,2,9,1,6,0,0,1,1,1
55,2015,3,N.C.,1,0,78,3,0,0,0,8,1,0,1,0,3,1,2
56,2015,3,S.C.,0,1,3,0,1,0,0,1,0,1,0,0,3,0,0
57,2015,3,Va.,2,17,108,7,2,1,1,5,1,2,0,0,2,3,1
58,2015,3,W. Va.,0,2,15,5,0,0,0,1,0,0,0,0,1,0,0
59,2015,3,E.S. CENTRAL,0,1,10,0,1,0,1,5,1,3,0,0,2,0,1
60,2015,3,Ala.,0,1,7,0,0,0,0,3,1,0,0,0,1,0,0
61,2015,3,Ky.,0,0,5,0,1,0,0,2,0,0,0,0,1,0,0
62,2015,3,Miss.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
63,2015,3,Tenn.,0,0,3,0,0,0,0,2,0,3,0,0,2,0,1
64,2015,3,W.S. CENTRAL,0,0,6,0,0,0,2,10,1,3,1,0,4,1,3
65,2015,3,Ark.,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
66,2015,3,La.,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
67,2015,3,Okla.,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2
68,2015,3,Tex.,0,0,5,0,0,0,1,9,1,1,1,0,3,1,0
69,2015,3,MOUNTAIN,0,1,8,0,2,0,1,6,0,5,0,0,3,0,5
70,2015,3,Ariz.,0,0,6,0,0,0,0,3,0,3,0,0,2,0,1
71,2015,3,Colo.,0,0,0,0,0,0,0,3,0,1,0,0,1,0,3
72,2015,3,Idaho,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
73,2015,3,Mont.,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0
74,2015,3,Nev.,0,0,2,0,1,0,0,2,0,0,0,0,1,0,0
75,2015,3,N. Mex.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
76,2015,3,Utah,0,0,2,0,1,0,0,1,0,1,0,0,1,0,0
77,2015,3,Wyo.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78,2015,3,PACIFIC,1,2,7,3,4,1,3,7,2,6,0,1,6,2,11
79,2015,3,Alaska,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
80,2015,3,Calif.,0,0,4,0,2,0,1,5,0,5,0,1,5,1,4
81,2015,3,Hawaii,N,0,0,N,N,0,0,1,0,0,0,0,1,0,1
82,2015,3,Oreg.,1,0,3,2,2,1,0,2,2,0,0,0,2,1,6
83,2015,3,Wash.,0,0,2,0,0,0,0,3,0,0,0,0,6,0,0
84,2015,3,Amer. Samoa,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
85,2015,3,C.N.M.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2015,3,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2015,3,P.R.,N,0,0,N,N,0,0,1,0,0,0,0,0,0,1
88,2015,3,V.I.,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
102,2015,3,,,,,,,,,,,,,,,,
22,2015,4,UNITED STATES,30,401,"1,841",244,659,7,23,54,40,94,4,7,16,16,40
23,2015,4,NEW ENGLAND,0,121,734,13,297,0,1,7,0,8,0,0,2,0,0
24,2015,4,Conn.,0,32,176,1,58,0,0,2,0,0,0,0,1,0,0
25,2015,4,Maine,0,16,94,6,17,0,0,1,0,2,0,0,1,0,0
26,2015,4,Mass.,0,43,421,0,178,0,1,5,0,4,0,0,1,0,0
27,2015,4,N.H.,0,5,67,0,25,0,0,1,0,2,0,0,0,0,0
28,2015,4,R.I.,0,11,83,0,0,0,0,3,0,0,0,0,1,0,0
29,2015,4,Vt.,0,8,48,6,19,0,0,2,0,0,0,0,0,0,0
30,2015,4,MID. ATLANTIC,20,187,940,167,273,3,6,24,13,29,0,1,3,0,1
31,2015,4,N.J.,0,39,191,18,93,0,1,5,1,4,0,0,1,0,0
32,2015,4,N.Y. (Upstate),5,46,171,23,23,0,1,4,4,2,0,0,2,0,1
33,2015,4,N.Y. City,4,3,441,12,0,3,3,16,5,15,0,0,2,0,0
34,2015,4,Pa.,11,83,621,114,157,0,1,7,3,8,0,0,2,0,0
35,2015,4,E.N. CENTRAL,0,13,128,4,27,0,2,6,3,10,2,1,4,2,2
36,2015,4,Ill.,0,1,20,0,1,0,1,4,0,3,0,0,2,0,0
37,2015,4,Ind.,0,1,11,0,0,0,0,3,0,1,0,0,1,0,0
38,2015,4,Mich.,0,1,13,1,2,0,0,2,0,2,0,0,2,0,0
39,2015,4,Ohio,0,1,10,3,1,0,0,3,3,4,2,0,2,2,0
40,2015,4,Wis.,0,10,97,0,23,0,0,2,0,0,0,0,1,0,2
41,2015,4,W.N. CENTRAL,0,2,23,2,4,0,1,4,3,8,0,0,2,0,5
42,2015,4,Iowa,0,1,20,1,0,0,0,2,0,3,0,0,1,0,1
43,2015,4,Kans.,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1
44,2015,4,Minn.,0,0,0,0,3,0,0,0,0,2,0,0,1,0,2
45,2015,4,Mo.,0,0,2,0,0,0,0,1,2,1,0,0,1,0,1
46,2015,4,Nebr.,0,0,4,1,1,0,0,2,1,1,0,0,0,0,0
47,2015,4,N. Dak.,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0
48,2015,4,S. Dak.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
49,2015,4,S. ATLANTIC,10,48,188,54,51,4,7,19,15,21,0,2,6,8,12
50,2015,4,Del.,2,6,24,6,14,0,0,1,0,1,0,0,1,0,0
51,2015,4,D.C.,1,0,4,2,2,1,0,2,1,0,0,0,1,0,0
52,2015,4,Fla.,2,2,12,5,4,3,1,4,7,2,0,1,4,3,5
53,2015,4,Ga.,0,0,1,0,0,0,1,5,0,6,0,0,2,0,2
54,2015,4,Md.,0,15,82,19,26,0,2,9,1,7,0,0,1,1,1
55,2015,4,N.C.,3,0,78,6,0,0,0,8,1,0,0,0,3,1,3
56,2015,4,S.C.,0,1,3,1,1,0,0,1,1,1,0,0,3,0,0
57,2015,4,Va.,2,17,108,10,4,0,1,5,4,4,0,0,2,3,1
58,2015,4,W. Va.,0,2,15,5,0,0,0,1,0,0,0,0,1,0,0
59,2015,4,E.S. CENTRAL,0,2,10,2,2,0,1,5,1,4,1,0,2,1,1
60,2015,4,Ala.,0,1,7,2,0,0,0,3,1,0,0,0,1,0,0
61,2015,4,Ky.,0,0,5,0,2,0,0,2,0,1,0,0,1,0,0
62,2015,4,Miss.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
63,2015,4,Tenn.,0,0,3,0,0,0,0,2,0,3,1,0,2,1,1
64,2015,4,W.S. CENTRAL,0,0,6,0,0,0,2,10,1,5,0,0,4,1,4
65,2015,4,Ark.,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
66,2015,4,La.,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2
67,2015,4,Okla.,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2
68,2015,4,Tex.,0,0,5,0,0,0,1,9,1,3,0,0,3,1,0
69,2015,4,MOUNTAIN,0,1,8,0,3,0,1,6,0,8,0,0,3,0,7
70,2015,4,Ariz.,0,0,6,0,0,0,0,3,0,6,0,0,2,0,3
71,2015,4,Colo.,0,0,0,0,0,0,0,3,0,1,0,0,1,0,3
72,2015,4,Idaho,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
73,2015,4,Mont.,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0
74,2015,4,Nev.,0,0,2,0,1,0,0,2,0,0,0,0,1,0,0
75,2015,4,N. Mex.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
76,2015,4,Utah,0,0,2,0,1,0,0,1,0,1,0,0,1,0,0
77,2015,4,Wyo.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78,2015,4,PACIFIC,0,2,7,2,2,0,3,7,4,1,1,1,6,4,8
79,2015,4,Alaska,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
80,2015,4,Calif.,0,0,4,0,0,0,1,5,1,0,0,1,5,2,0
81,2015,4,Hawaii,N,0,0,N,N,0,0,1,0,0,0,0,1,0,1
82,2015,4,Oreg.,0,0,3,1,2,0,0,2,3,0,1,0,2,2,6
83,2015,4,Wash.,0,0,2,0,0,0,0,3,0,0,0,0,6,0,1
84,2015,4,Amer. Samoa,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
85,2015,4,C.N.M.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2015,4,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2015,4,P.R.,N,0,0,N,N,0,0,1,0,0,0,0,0,0,1
88,2015,4,V.I.,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
102,2015,4,,,,,,,,,,,,,,,,
22,2015,5,UNITED STATES,82,402,"1,851",374,831,5,24,54,47,115,4,7,16,26,47
23,2015,5,NEW ENGLAND,0,121,734,14,360,0,1,7,0,10,0,0,2,0,1
24,2015,5,Conn.,0,30,176,1,69,0,0,2,0,0,0,0,1,0,0
25,2015,5,Maine,0,16,94,6,24,0,0,1,0,2,0,0,1,0,0
26,2015,5,Mass.,0,48,421,0,210,0,1,5,0,5,0,0,1,0,1
27,2015,5,N.H.,0,4,67,0,32,0,0,1,0,2,0,0,0,0,0
28,2015,5,R.I.,0,11,83,0,1,0,0,3,0,1,0,0,1,0,0
29,2015,5,Vt.,0,8,48,7,24,0,0,2,0,0,0,0,0,0,0
30,2015,5,MID. ATLANTIC,25,187,948,230,360,1,6,24,14,35,0,1,3,0,1
31,2015,5,N.J.,0,39,191,32,121,0,1,5,1,5,0,0,1,0,0
32,2015,5,N.Y. (Upstate),8,46,171,32,35,1,1,4,5,5,0,0,2,0,1
33,2015,5,N.Y. City,0,3,441,12,0,0,3,16,5,17,0,0,2,0,0
34,2015,5,Pa.,17,83,629,154,204,0,1,7,3,8,0,0,2,0,0
35,2015,5,E.N. CENTRAL,3,13,130,10,34,1,2,6,5,11,0,1,4,2,2
36,2015,5,Ill.,0,1,20,0,1,0,1,4,1,3,0,0,2,0,0
37,2015,5,Ind.,0,1,11,0,0,0,0,3,0,1,0,0,1,0,0
38,2015,5,Mich.,3,1,13,5,2,1,0,2,1,3,0,0,2,0,0
39,2015,5,Ohio,0,1,10,5,1,0,0,3,3,4,0,0,2,2,0
40,2015,5,Wis.,0,10,98,0,30,0,0,2,0,0,0,0,1,0,2
41,2015,5,W.N. CENTRAL,0,2,23,2,5,0,1,4,3,8,0,0,2,0,5
42,2015,5,Iowa,0,1,20,1,1,0,0,2,0,3,0,0,1,0,1
43,2015,5,Kans.,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1
44,2015,5,Minn.,0,0,0,0,3,0,0,0,0,2,0,0,1,0,2
45,2015,5,Mo.,0,0,2,0,0,0,0,1,2,1,0,0,1,0,1
46,2015,5,Nebr.,0,0,4,1,1,0,0,2,1,1,0,0,0,0,0
47,2015,5,N. Dak.,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0
48,2015,5,S. Dak.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
49,2015,5,S. ATLANTIC,52,48,190,110,65,3,7,19,19,28,2,1,6,11,15
50,2015,5,Del.,2,6,24,9,17,0,0,1,0,1,0,0,1,0,0
51,2015,5,D.C.,0,1,4,2,2,0,0,2,1,0,0,0,1,0,0
52,2015,5,Fla.,1,2,12,7,4,0,1,4,7,3,1,1,4,4,8
53,2015,5,Ga.,0,0,1,0,0,0,1,5,0,6,0,0,2,1,2
54,2015,5,Md.,45,15,82,65,31,3,2,9,4,11,0,0,1,1,1
55,2015,5,N.C.,0,0,78,6,3,0,0,8,1,1,1,0,3,2,3
56,2015,5,S.C.,0,1,3,1,1,0,0,1,1,1,0,0,3,0,0
57,2015,5,Va.,4,17,109,14,7,0,1,5,5,4,0,0,2,3,1
58,2015,5,W. Va.,0,2,15,6,0,0,0,1,0,1,0,0,1,0,0
59,2015,5,E.S. CENTRAL,0,2,10,2,2,0,0,5,1,5,0,0,2,1,2
60,2015,5,Ala.,0,1,7,2,0,0,0,3,1,0,0,0,1,0,0
61,2015,5,Ky.,0,0,5,0,2,0,0,2,0,1,0,0,1,0,1
62,2015,5,Miss.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
