,year,mmwr_week,Reporting Area,"Meningococcal disease, all serogroups current week","Meningococcal disease, all serogroups previous 52 weeks median ","Meningococcal disease, all serogroups previous 52 weeks maximum ","Meningococcal disease, all serogroups cummulative for 2018","Meningococcal disease, all serogroups cummulative for 2017",Mumps current week,Mumps previous 52 weeks median ,Mumps previous 52 weeks maximum ,Mumps cummulative for 2018,Mumps cummulative for 2017,Pertussis current week,Pertussis previous 52 weeks median ,Pertussis previous 52 weeks maximum ,Pertussis cummulative for 2018,Pertussis cummulative for 2017
49,2018,2,Delaware,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
50,2018,2,District of Columbia,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1
51,2018,2,Florida,1,0,3,1,3,3,1,9,4,0,4,8,21,7,3
52,2018,2,Georgia,0,0,2,0,0,0,1,6,0,1,0,2,13,0,6
53,2018,2,Maryland,2,0,2,2,0,0,0,1,0,0,1,2,6,5,6
54,2018,2,North Carolina,0,0,2,0,0,0,1,3,0,1,0,6,22,0,15
55,2018,2,South Carolina,0,0,2,0,2,0,0,2,0,0,0,3,12,0,14
56,2018,2,Virginia,0,0,3,0,1,0,0,4,0,0,0,4,14,0,2
57,2018,2,West Virginia,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0
58,2018,2,East South Central,0,0,2,0,1,0,2,13,1,1,8,15,41,17,14
59,2018,2,Alabama,0,0,1,0,0,0,0,11,0,0,0,4,17,1,2
60,2018,2,Kentucky,0,0,1,0,0,0,0,3,0,0,6,6,28,10,5
61,2018,2,Mississippi,0,0,1,0,0,0,0,8,0,0,0,1,2,1,2
62,2018,2,Tennessee,0,0,2,0,1,0,1,6,1,1,2,3,9,5,5
63,2018,2,West South Central,0,0,2,0,1,1,11,107,1,148,1,37,76,2,7
64,2018,2,Arkansas,0,0,1,0,0,0,0,96,0,119,0,3,11,0,0
65,2018,2,Louisiana,0,0,1,0,1,1,0,3,1,0,0,0,5,0,2
66,2018,2,Oklahoma,0,0,1,0,0,0,1,25,0,17,0,0,43,0,0
67,2018,2,Texas,0,0,2,0,0,0,6,24,0,12,1,30,62,2,5
68,2018,2,Mountain,0,0,2,0,1,0,2,17,2,2,17,35,65,26,55
69,2018,2,Arizona,0,0,1,0,1,0,0,12,2,0,4,8,17,8,14
70,2018,2,Colorado,0,0,1,0,0,0,1,13,0,2,0,12,36,0,19
71,2018,2,Idaho,0,0,1,0,0,0,0,2,0,0,10,1,11,13,1
72,2018,2,Montana,0,0,1,0,0,0,0,2,0,0,3,1,18,5,0
73,2018,2,Nevada,0,0,1,0,0,0,0,1,0,0,0,1,9,0,0
74,2018,2,New Mexico,0,0,1,0,0,0,0,1,0,0,0,2,11,0,18
75,2018,2,Utah,0,0,1,0,0,0,0,9,0,0,0,7,23,0,3
76,2018,2,Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
77,2018,2,Pacific,1,2,6,2,6,0,35,123,2,17,1,53,117,9,67
78,2018,2,Alaska,0,0,1,0,0,0,0,22,0,0,0,0,4,0,7
79,2018,2,California,0,1,4,0,3,0,1,11,0,10,0,36,68,6,52
80,2018,2,Hawaii,0,0,1,0,0,0,15,44,1,1,0,0,2,1,3
81,2018,2,Oregon,1,0,2,2,3,0,1,4,1,4,1,4,11,2,5
82,2018,2,Washington,0,0,4,0,0,0,4,113,0,2,0,10,69,0,0
84,2018,2,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2018,2,Commonwealth of Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2018,2,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2018,2,Puerto Rico,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
88,2018,2,U.S. Virgin Islands,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,2018,3,United States,5,6,13,15,30,15,88,241,57,449,51,320,461,229,831
22,2018,3,New England,0,0,2,0,1,0,4,14,0,3,3,20,31,17,66
23,2018,3,Connecticut,0,0,0,0,0,0,0,2,0,0,0,1,5,0,5
24,2018,3,Maine,0,0,1,0,0,0,0,1,0,0,3,7,19,16,22
25,2018,3,Massachusetts,0,0,1,0,1,0,3,14,0,2,0,6,18,0,9
26,2018,3,New Hampshire,0,0,0,0,0,0,0,2,0,1,0,1,5,0,2
27,2018,3,Rhode Island,0,0,1,0,0,0,0,10,0,0,0,0,9,0,0
28,2018,3,Vermont,0,0,1,0,0,0,0,1,0,0,0,1,11,1,28
29,2018,3,Middle Atlantic,0,1,3,0,1,5,11,63,9,40,14,36,67,35,124
30,2018,3,New Jersey,0,0,1,0,0,0,0,2,0,6,0,7,28,0,31
31,2018,3,New York (excluding New York City),0,0,2,0,0,3,3,54,3,7,4,9,26,9,15
32,2018,3,New York City,0,0,3,0,0,0,4,11,3,25,0,2,6,0,14
33,2018,3,Pennsylvania,0,0,2,0,1,2,1,15,3,2,10,17,31,26,64
34,2018,3,East North Central,1,1,3,2,3,1,5,28,2,32,9,61,101,51,211
35,2018,3,Illinois,0,0,2,0,0,0,3,22,0,8,0,11,43,0,42
36,2018,3,Indiana,0,0,2,0,0,0,0,4,0,5,0,6,19,2,9
37,2018,3,Michigan,0,0,1,0,0,0,0,2,0,0,0,10,21,2,49
38,2018,3,Ohio,1,0,3,2,3,1,0,7,2,0,9,17,34,39,54
39,2018,3,Wisconsin,0,0,0,0,0,0,0,9,0,19,0,14,27,8,57
40,2018,3,West North Central,1,0,2,2,1,3,5,60,7,84,3,25,115,21,110
41,2018,3,Iowa,0,0,1,0,0,0,1,9,0,19,0,3,8,0,3
42,2018,3,Kansas,0,0,1,0,0,0,0,19,1,2,0,3,11,1,14
43,2018,3,Minnesota,0,0,2,0,0,0,0,10,0,2,0,10,22,0,57
44,2018,3,Missouri,1,0,1,2,1,2,2,40,5,59,0,6,87,10,19
45,2018,3,Nebraska,0,0,1,0,0,1,0,1,1,0,3,2,13,10,8
46,2018,3,North Dakota,0,0,0,0,0,0,0,2,0,2,0,0,4,0,8
47,2018,3,South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
48,2018,3,South Atlantic,0,1,5,3,10,5,4,11,9,9,3,28,45,19,74
49,2018,3,Delaware,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
50,2018,3,District of Columbia,0,0,0,0,0,0,0,2,0,0,0,0,3,0,2
51,2018,3,Florida,0,0,3,1,6,3,1,9,7,0,3,8,21,10,9
52,2018,3,Georgia,0,0,2,0,1,1,1,6,1,5,0,2,13,0,8
53,2018,3,Maryland,0,0,2,2,0,0,0,1,0,0,0,2,6,6,8
54,2018,3,North Carolina,0,0,2,0,0,0,0,3,0,2,0,7,22,2,22
55,2018,3,South Carolina,0,0,2,0,2,0,0,2,0,0,0,2,12,0,22
56,2018,3,Virginia,0,0,3,0,1,1,0,4,1,2,0,5,14,0,3
57,2018,3,West Virginia,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0
58,2018,3,East South Central,0,0,2,0,1,0,2,13,1,2,3,15,41,20,26
59,2018,3,Alabama,0,0,1,0,0,0,0,11,0,0,2,4,17,3,5
60,2018,3,Kentucky,0,0,1,0,0,0,0,3,0,1,0,6,28,10,9
61,2018,3,Mississippi,0,0,1,0,0,0,0,8,0,0,0,1,2,1,3
62,2018,3,Tennessee,0,0,2,0,1,0,1,6,1,1,1,3,9,6,9
63,2018,3,West South Central,0,0,2,0,1,1,10,103,2,251,3,38,89,5,19
64,2018,3,Arkansas,0,0,1,0,0,0,0,96,0,215,0,3,11,0,4
65,2018,3,Louisiana,0,0,1,0,1,0,0,3,1,0,0,0,5,0,2
66,2018,3,Oklahoma,0,0,1,0,0,0,1,25,0,19,0,0,43,0,0
67,2018,3,Texas,0,0,2,0,0,1,5,24,1,17,3,30,86,5,13
68,2018,3,Mountain,2,0,2,2,2,0,2,17,2,8,12,35,65,45,96
69,2018,3,Arizona,2,0,1,2,2,0,0,12,2,0,8,7,17,19,19
70,2018,3,Colorado,0,0,1,0,0,0,0,13,0,5,0,12,36,0,46
71,2018,3,Idaho,0,0,1,0,0,0,0,2,0,0,0,1,11,13,1
72,2018,3,Montana,0,0,1,0,0,0,0,2,0,0,3,1,18,8,0
73,2018,3,Nevada,0,0,1,0,0,0,0,1,0,1,1,1,9,1,1
74,2018,3,New Mexico,0,0,1,0,0,0,0,1,0,0,0,2,11,4,23
75,2018,3,Utah,0,0,1,0,0,0,0,9,0,2,0,7,23,0,6
76,2018,3,Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
77,2018,3,Pacific,1,2,6,6,10,0,35,123,25,20,1,54,117,16,105
78,2018,3,Alaska,0,0,1,0,0,0,1,25,19,0,0,1,4,1,9
79,2018,3,California,0,1,4,3,5,0,1,11,3,11,0,37,68,10,85
80,2018,3,Hawaii,0,0,1,0,0,0,16,44,1,1,0,0,2,1,3
81,2018,3,Oregon,1,0,2,3,5,0,1,4,2,6,1,4,11,4,8
82,2018,3,Washington,0,0,4,0,0,0,5,113,0,2,0,10,75,0,0
84,2018,3,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2018,3,Commonwealth of Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2018,3,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2018,3,Puerto Rico,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
88,2018,3,U.S. Virgin Islands,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,2018,4,United States,2,6,13,21,35,13,87,241,130,614,52,328,461,343,"1,109"
22,2018,4,New England,0,0,2,0,1,0,4,14,3,7,0,20,31,24,88
23,2018,4,Connecticut,0,0,0,0,0,0,0,2,0,1,0,1,5,1,6
24,2018,4,Maine,0,0,1,0,0,0,0,1,1,0,0,7,19,19,30
25,2018,4,Massachusetts,0,0,1,0,1,0,3,14,2,5,0,6,18,0,10
26,2018,4,New Hampshire,0,0,0,0,0,0,0,2,0,1,0,1,5,2,3
27,2018,4,Rhode Island,0,0,1,0,0,0,0,10,0,0,0,0,9,0,0
28,2018,4,Vermont,0,0,1,0,0,0,0,1,0,0,0,1,11,2,39
29,2018,4,Middle Atlantic,0,1,3,1,1,5,11,63,23,54,13,36,67,51,160
30,2018,4,New Jersey,0,0,1,1,0,0,0,2,1,7,0,6,28,0,40
31,2018,4,New York (excluding New York City),0,0,2,0,0,5,3,54,8,10,4,9,26,13,24
32,2018,4,New York City,0,0,3,0,0,0,4,11,11,33,0,2,6,1,18
33,2018,4,Pennsylvania,0,0,2,0,1,0,1,15,3,4,9,17,31,37,78
34,2018,4,East North Central,0,1,3,2,5,2,5,28,6,39,10,61,101,72,286
35,2018,4,Illinois,0,0,2,0,0,0,3,22,0,10,0,11,43,1,60
36,2018,4,Indiana,0,0,2,0,0,0,0,4,1,5,0,6,19,6,9
37,2018,4,Michigan,0,0,1,0,0,0,0,2,1,1,0,11,21,5,67
38,2018,4,Ohio,0,0,1,2,4,2,0,7,4,3,10,16,34,49,77
39,2018,4,Wisconsin,0,0,1,0,1,0,0,9,0,20,0,14,27,11,73
40,2018,4,West North Central,0,0,2,2,1,0,5,60,8,108,5,24,115,34,135
41,2018,4,Iowa,0,0,1,0,0,0,1,9,0,24,0,3,8,0,4
42,2018,4,Kansas,0,0,1,0,0,0,0,19,1,3,0,3,11,5,17
43,2018,4,Minnesota,0,0,2,0,0,0,0,10,0,2,0,10,22,0,64
44,2018,4,Missouri,0,0,1,2,1,0,2,40,6,77,3,6,87,17,28
45,2018,4,Nebraska,0,0,1,0,0,0,0,1,1,0,2,2,13,12,10
46,2018,4,North Dakota,0,0,0,0,0,0,0,2,0,2,0,0,4,0,11
47,2018,4,South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
48,2018,4,South Atlantic,2,1,5,6,11,1,5,15,12,12,6,28,45,31,92
49,2018,4,Delaware,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
50,2018,4,District of Columbia,0,0,1,0,0,0,0,12,0,0,0,0,3,0,4
51,2018,4,Florida,1,0,2,2,6,1,1,9,9,1,4,8,21,14,12
52,2018,4,Georgia,0,0,2,1,1,0,1,6,1,6,0,2,13,0,9
53,2018,4,Maryland,0,0,2,2,0,0,0,1,1,1,2,2,6,8,10
54,2018,4,North Carolina,0,0,2,0,0,0,0,3,0,2,0,6,23,8,24
55,2018,4,South Carolina,0,0,2,0,2,0,0,2,0,0,0,2,12,0,26
56,2018,4,Virginia,1,0,3,1,2,0,0,4,1,2,0,5,14,0,6
57,2018,4,West Virginia,0,0,1,0,0,0,0,1,0,0,0,0,2,1,1
58,2018,4,East South Central,0,0,2,0,1,0,2,13,2,3,1,15,41,25,37
59,2018,4,Alabama,0,0,1,0,0,0,0,11,0,1,0,4,17,5,5
60,2018,4,Kentucky,0,0,1,0,0,0,0,3,1,1,0,6,28,10,17
61,2018,4,Mississippi,0,0,1,0,0,0,0,8,0,0,1,0,2,3,4
62,2018,4,Tennessee,0,0,2,0,1,0,1,6,1,1,0,3,9,7,11
63,2018,4,West South Central,0,0,2,0,1,0,9,88,2,339,9,38,114,15,38
64,2018,4,Arkansas,0,0,1,0,0,0,0,58,0,273,1,3,11,1,10
65,2018,4,Louisiana,0,0,1,0,1,0,0,3,1,0,0,0,5,0,2
66,2018,4,Oklahoma,0,0,1,0,0,0,0,25,0,32,0,0,43,0,0
67,2018,4,Texas,0,0,2,0,0,0,5,24,1,34,8,30,110,14,26
68,2018,4,Mountain,0,0,2,1,3,0,2,17,3,20,5,35,65,57,128
69,2018,4,Arizona,0,0,1,1,2,0,0,12,3,0,5,8,17,27,29
70,2018,4,Colorado,0,0,1,0,1,0,0,13,0,15,0,11,36,0,54
71,2018,4,Idaho,0,0,1,0,0,0,0,2,0,0,0,1,11,13,2
72,2018,4,Montana,0,0,1,0,0,0,0,2,0,0,0,1,18,8,0
73,2018,4,Nevada,0,0,1,0,0,0,0,1,0,1,0,1,9,1,1
74,2018,4,New Mexico,0,0,1,0,0,0,0,1,0,0,0,3,11,7,30
75,2018,4,Utah,0,0,1,0,0,0,0,9,0,4,0,7,23,1,12
76,2018,4,Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
77,2018,4,Pacific,0,2,6,9,11,5,35,123,71,32,3,56,131,34,145
78,2018,4,Alaska,0,0,1,0,0,0,1,25,19,0,0,1,4,1,9
79,2018,4,California,0,1,4,6,6,0,1,11,4,16,0,37,68,21,118
80,2018,4,Hawaii,0,0,1,0,0,4,17,44,45,1,0,0,2,1,3
81,2018,4,Oregon,0,0,2,3,5,0,1,4,2,10,2,4,11,10,10
82,2018,4,Washington,0,0,4,0,0,1,5,113,1,5,1,10,113,1,5
84,2018,4,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2018,4,Commonwealth of Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2018,4,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2018,4,Puerto Rico,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
88,2018,4,U.S. Virgin Islands,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,2018,5,United States,5,6,13,29,43,10,85,241,160,778,67,335,462,531,"1,414"
22,2018,5,New England,0,0,2,0,1,1,4,14,5,9,2,19,31,28,108
23,2018,5,Connecticut,0,0,0,0,0,0,0,2,0,1,0,1,5,1,6
24,2018,5,Maine,0,0,1,0,0,0,0,1,1,0,2,7,19,22,40
25,2018,5,Massachusetts,0,0,1,0,1,0,3,14,2,7,0,6,18,0,13
26,2018,5,New Hampshire,0,0,0,0,0,0,0,2,0,1,0,1,5,3,3
27,2018,5,Rhode Island,0,0,1,0,0,0,0,10,0,0,0,0,9,0,4
28,2018,5,Vermont,0,0,1,0,0,1,0,1,2,0,0,1,7,2,42
29,2018,5,Middle Atlantic,2,1,3,3,1,3,11,63,33,71,7,35,67,61,194
30,2018,5,New Jersey,0,0,1,1,0,0,0,2,1,8,0,5,28,0,51
31,2018,5,New York (excluding New York City),1,0,2,1,0,2,3,54,9,14,4,9,26,17,32
32,2018,5,New York City,1,0,3,1,0,0,4,11,19,43,0,2,6,3,22
33,2018,5,Pennsylvania,0,0,2,0,1,1,1,15,4,6,3,17,31,41,89
34,2018,5,East North Central,0,1,3,2,7,0,5,28,6,47,12,61,101,112,354
35,2018,5,Illinois,0,0,2,0,0,0,3,22,0,15,0,10,43,1,71
36,2018,5,Indiana,0,0,2,0,0,0,0,4,1,7,0,6,19,9,15
37,2018,5,Michigan,0,0,1,0,1,0,0,2,1,1,0,11,21,15,76
38,2018,5,Ohio,0,0,1,2,4,0,0,7,4,4,12,15,34,61,103
39,2018,5,Wisconsin,0,0,1,0,2,0,0,9,0,20,0,14,28,26,89
40,2018,5,West North Central,0,0,2,2,1,2,5,60,13,133,5,24,115,47,168
41,2018,5,Iowa,0,0,1,0,0,0,1,9,2,27,0,3,8,2,6
42,2018,5,Kansas,0,0,1,0,0,0,0,19,1,8,0,3,11,5,22
43,2018,5,Minnesota,0,0,2,0,0,0,0,10,0,2,0,10,22,0,79
44,2018,5,Missouri,0,0,1,2,1,2,2,40,9,94,2,6,87,21,34
45,2018,5,Nebraska,0,0,1,0,0,0,0,2,1,0,3,2,14,16,12
46,2018,5,North Dakota,0,0,0,0,0,0,0,2,0,2,0,0,4,0,14
47,2018,5,South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1
48,2018,5,South Atlantic,1,1,5,7,11,2,5,15,20,17,9,29,45,56,119
49,2018,5,Delaware,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
50,2018,5,District of Columbia,0,0,1,0,0,0,0,12,0,0,0,0,3,2,4
51,2018,5,Florida,1,0,2,3,6,0,1,9,10,1,9,8,21,23,19
52,2018,5,Georgia,0,0,2,1,1,1,1,6,6,6,0,2,13,0,17
53,2018,5,Maryland,0,0,2,2,0,1,0,1,2,2,0,2,6,10,11
54,2018,5,North Carolina,0,0,2,0,0,0,0,3,0,2,0,7,24,20,29
55,2018,5,South Carolina,0,0,2,0,2,0,0,2,0,0,0,2,12,0,28
56,2018,5,Virginia,0,0,3,1,2,0,0,4,2,6,0,5,14,0,8
57,2018,5,West Virginia,0,0,1,0,0,0,0,1,0,0,0,0,2,1,3
58,2018,5,East South Central,0,0,2,0,1,0,2,13,2,5,1,15,41,41,59
59,2018,5,Alabama,0,0,1,0,0,0,0,11,0,1,0,4,17,5,6
60,2018,5,Kentucky,0,0,1,0,0,0,0,3,1,2,0,6,28,24,34
61,2018,5,Mississippi,0,0,1,0,0,0,0,8,0,1,0,1,2,4,5
62,2018,5,Tennessee,0,0,2,0,1,0,1,6,1,1,1,3,9,8,14
63,2018,5,West South Central,2,0,2,3,2,1,8,77,5,419,17,38,126,34,62
64,2018,5,Arkansas,0,0,1,0,0,0,0,50,0,326,4,3,11,6,16
65,2018,5,Louisiana,0,0,1,0,1,0,0,3,1,0,0,0,5,0,3
66,2018,5,Oklahoma,0,0,1,0,0,0,0,25,0,42,0,0,43,0,0
