,year,mmwr_week,Reporting Area,"Meningococcal disease(Neisseria meningitidis)�, All serogroups current week","Meningococcal disease(Neisseria meningitidis)�, All serogroups previous 52 weeks median ","Meningococcal disease(Neisseria meningitidis)�, All serogroups previous 52 weeks maximum ","Meningococcal disease(Neisseria meningitidis)�, All serogroups cummulative for 2017","Meningococcal disease(Neisseria meningitidis)�, All serogroups cummulative for 2016",Mumps current week,Mumps previous 52 weeks median ,Mumps previous 52 weeks maximum ,Mumps cummulative for 2017,Mumps cummulative for 2016,Pertussis current week,Pertussis previous 52 weeks median ,Pertussis previous 52 weeks maximum ,Pertussis cummulative for 2017,Pertussis cummulative for 2016
84,2017,1,C.N.M.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2017,1,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2017,1,P.R.,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
87,2017,1,V.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2017,2,UNITED STATES,4,6,21,7,12,78,69,399,126,89,67,315,449,146,669
22,2017,2,NEW ENGLAND,0,0,2,0,0,0,3,38,1,0,5,14,65,11,39
23,2017,2,Conn.,0,0,1,0,0,0,0,12,0,0,0,1,6,0,3
24,2017,2,Maine,0,0,1,0,0,0,0,4,0,0,4,4,14,8,13
25,2017,2,Mass.,0,0,2,0,0,0,1,28,0,0,0,3,8,0,7
26,2017,2,N.H.,0,0,0,0,0,0,0,5,1,0,0,1,4,0,3
27,2017,2,R.I.,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0
28,2017,2,Vt.,0,0,0,0,0,0,0,0,0,0,1,3,44,3,13
29,2017,2,MID. ATLANTIC,0,0,4,0,0,1,5,32,5,4,17,53,90,45,131
30,2017,2,N.J.,0,0,2,0,0,0,0,3,0,1,0,8,24,0,42
31,2017,2,N.Y. (Upstate),0,0,1,0,0,1,1,24,5,1,7,13,28,12,15
32,2017,2,N.Y. City,0,0,2,0,0,0,2,19,0,2,0,5,14,0,17
33,2017,2,Pa.,0,0,2,0,0,0,0,2,0,0,10,25,77,33,57
34,2017,2,E.N. CENTRAL,0,0,5,0,1,0,10,55,5,21,18,70,156,37,158
35,2017,2,Ill.,0,0,2,0,0,0,4,25,1,18,0,18,36,0,38
36,2017,2,Ind.,0,0,2,0,0,0,2,23,0,0,0,2,9,0,6
37,2017,2,Mich.,0,0,1,0,0,0,0,2,0,0,0,7,29,0,20
38,2017,2,Ohio,0,0,1,0,0,0,1,20,0,1,12,18,38,30,50
39,2017,2,Wis.,0,0,1,0,1,0,0,12,4,2,6,23,99,7,44
40,2017,2,W.N. CENTRAL,0,0,1,0,0,1,14,45,3,63,2,29,53,2,63
41,2017,2,Iowa,0,0,1,0,0,1,11,40,3,59,0,2,11,0,7
42,2017,2,Kans.,0,0,1,0,0,0,0,2,0,1,0,2,8,0,3
43,2017,2,Minn.,0,0,1,0,0,0,0,4,0,3,0,13,34,0,32
44,2017,2,Mo.,0,0,1,0,0,0,0,29,0,0,0,4,27,0,6
45,2017,2,Nebr.,0,0,1,0,0,0,0,10,0,0,2,2,9,2,14
46,2017,2,N. Dak.,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0
47,2017,2,S. Dak.,0,0,1,0,0,0,0,2,0,0,0,0,2,0,1
48,2017,2,S. ATLANTIC,4,1,4,5,2,0,2,8,1,1,4,25,43,6,74
49,2017,2,Del.,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4
50,2017,2,D.C.,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
51,2017,2,Fla.,1,0,2,2,1,0,0,2,1,0,2,6,16,3,20
52,2017,2,Ga.,0,0,3,0,0,0,0,2,0,0,0,3,18,0,11
53,2017,2,Md.,0,0,1,0,0,0,0,3,0,0,2,2,9,3,4
54,2017,2,N.C.,0,0,1,0,0,0,0,8,0,1,0,4,11,0,20
55,2017,2,S.C.,2,0,2,2,1,0,0,2,0,0,0,2,15,0,10
56,2017,2,Va.,1,0,2,1,0,0,0,2,0,0,0,3,10,0,4
57,2017,2,W. Va.,0,0,2,0,0,0,0,1,0,0,0,0,3,0,1
58,2017,2,E.S. CENTRAL,0,0,2,0,0,0,1,15,0,0,3,13,33,5,63
59,2017,2,Ala.,0,0,1,0,0,0,0,1,0,0,0,3,7,0,11
60,2017,2,Ky.,0,0,1,0,0,0,0,15,0,0,0,7,27,2,45
61,2017,2,Miss.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
62,2017,2,Tenn.,0,0,1,0,0,0,0,1,0,0,3,3,5,3,7
63,2017,2,W.S. CENTRAL,0,0,3,0,2,68,2,333,101,0,0,27,83,1,9
64,2017,2,Ark.,0,0,1,0,1,52,0,248,75,0,0,1,4,0,2
65,2017,2,La.,0,0,1,0,0,0,0,0,0,0,0,1,5,0,3
66,2017,2,Okla.,0,0,1,0,1,13,0,81,17,0,0,0,54,0,0
67,2017,2,Tex.,0,0,3,0,0,3,1,43,9,0,0,21,40,1,4
68,2017,2,MOUNTAIN,0,0,3,0,0,1,1,6,1,0,17,31,59,34,79
69,2017,2,Ariz.,0,0,1,0,0,0,0,2,0,0,8,4,21,11,29
70,2017,2,Colo.,0,0,1,0,0,1,0,3,1,0,8,16,27,22,25
71,2017,2,Idaho,0,0,1,0,0,0,0,1,0,0,0,1,8,0,3
72,2017,2,Mont.,0,0,1,0,0,0,0,6,0,0,0,0,3,0,1
73,2017,2,Nev.,0,0,2,0,0,0,0,1,0,0,0,0,3,0,2
74,2017,2,N. Mex.,0,0,1,0,0,0,0,1,0,0,0,3,8,0,4
75,2017,2,Utah,0,0,1,0,0,0,0,1,0,0,1,4,10,1,14
76,2017,2,Wyo.,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
77,2017,2,PACIFIC,0,2,7,2,7,7,2,51,9,0,1,39,61,5,53
78,2017,2,Alaska,0,0,2,0,0,0,0,2,1,0,0,2,10,1,6
79,2017,2,Calif.,0,1,6,0,4,0,1,9,1,0,1,23,36,4,37
80,2017,2,Hawaii,0,0,1,0,0,0,0,2,0,0,0,1,5,0,3
81,2017,2,Oreg.,0,0,3,2,3,1,0,5,1,0,0,3,13,0,7
82,2017,2,Wash.,0,0,1,0,0,6,0,49,6,0,0,9,35,0,0
83,2017,2,Amer. Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2017,2,C.N.M.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2017,2,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2017,2,P.R.,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
87,2017,2,V.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2017,3,UNITED STATES,10,6,20,21,20,48,75,403,228,145,107,315,462,315,964
22,2017,3,NEW ENGLAND,0,0,2,0,0,0,3,38,1,1,7,14,69,31,50
23,2017,3,Conn.,0,0,1,0,0,0,0,12,0,0,0,1,6,0,3
24,2017,3,Maine,0,0,1,0,0,0,0,4,0,0,4,4,14,13,22
25,2017,3,Mass.,0,0,2,0,0,0,2,28,0,1,0,4,9,0,9
26,2017,3,N.H.,0,0,0,0,0,0,0,5,1,0,0,1,4,0,3
27,2017,3,R.I.,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0
28,2017,3,Vt.,0,0,0,0,0,0,0,0,0,0,3,3,45,18,13
29,2017,3,MID. ATLANTIC,1,0,4,1,0,2,6,32,11,5,15,54,90,69,198
30,2017,3,N.J.,0,0,2,0,0,0,0,3,0,1,0,8,24,0,57
31,2017,3,N.Y. (Upstate),0,0,1,0,0,2,1,24,7,1,5,13,32,17,28
32,2017,3,N.Y. City,0,0,2,0,0,0,2,19,4,3,0,5,14,0,26
33,2017,3,Pa.,1,0,2,1,0,0,0,2,0,0,10,25,77,52,87
34,2017,3,E.N. CENTRAL,3,0,6,3,3,0,10,55,12,32,24,71,156,71,232
35,2017,3,Ill.,0,0,2,0,1,0,3,25,4,25,0,18,37,2,52
36,2017,3,Ind.,0,0,2,0,0,0,2,23,2,1,0,2,9,0,13
37,2017,3,Mich.,0,0,1,0,0,0,0,2,0,1,0,7,29,0,28
38,2017,3,Ohio,3,0,1,3,1,0,1,20,0,3,24,18,38,54,71
39,2017,3,Wis.,0,0,1,0,1,0,0,12,6,2,0,23,99,15,68
40,2017,3,W.N. CENTRAL,0,0,1,0,0,2,14,45,9,103,1,29,55,5,88
41,2017,3,Iowa,0,0,1,0,0,1,10,40,8,94,0,2,11,0,8
42,2017,3,Kans.,0,0,1,0,0,0,0,2,0,2,0,2,8,0,5
43,2017,3,Minn.,0,0,1,0,0,0,0,4,0,7,0,14,34,0,40
44,2017,3,Mo.,0,0,1,0,0,0,0,29,0,0,0,3,27,0,11
45,2017,3,Nebr.,0,0,1,0,0,0,0,10,0,0,1,2,9,4,23
46,2017,3,N. Dak.,0,0,0,0,0,1,0,3,1,0,0,0,5,1,0
47,2017,3,S. Dak.,0,0,1,0,0,0,0,2,0,0,0,0,2,0,1
48,2017,3,S. ATLANTIC,3,1,4,8,3,0,2,8,1,3,12,25,43,30,94
49,2017,3,Del.,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4
50,2017,3,D.C.,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
51,2017,3,Fla.,3,0,2,5,1,0,0,2,1,0,6,6,16,9,28
52,2017,3,Ga.,0,0,3,0,1,0,0,2,0,0,0,2,18,0,12
53,2017,3,Md.,0,0,1,0,0,0,0,3,0,0,1,2,9,5,5
54,2017,3,N.C.,0,0,1,0,0,0,0,8,0,2,0,4,11,1,25
55,2017,3,S.C.,0,0,2,2,1,0,0,2,0,0,5,2,15,15,11
56,2017,3,Va.,0,0,2,1,0,0,0,2,0,1,0,3,10,0,8
57,2017,3,W. Va.,0,0,2,0,0,0,0,1,0,0,0,0,3,0,1
58,2017,3,E.S. CENTRAL,0,0,2,1,0,0,1,15,1,0,4,13,33,10,77
59,2017,3,Ala.,0,0,1,0,0,0,0,1,0,0,1,3,7,1,18
60,2017,3,Ky.,0,0,1,0,0,0,0,15,0,0,1,7,27,3,52
61,2017,3,Miss.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
62,2017,3,Tenn.,0,0,1,1,0,0,0,1,1,0,2,3,5,6,7
63,2017,3,W.S. CENTRAL,0,0,3,1,3,43,2,333,177,0,0,27,83,3,18
64,2017,3,Ark.,0,0,1,0,1,39,0,248,145,0,0,1,4,0,5
65,2017,3,La.,0,0,1,1,0,0,0,0,0,0,0,1,5,2,4
66,2017,3,Okla.,0,0,1,0,1,1,0,81,18,0,0,0,54,0,0
67,2017,3,Tex.,0,0,3,0,1,3,1,47,14,0,0,21,41,1,9
68,2017,3,MOUNTAIN,1,0,3,2,2,1,1,6,2,1,37,30,51,78,130
69,2017,3,Ariz.,1,0,1,2,1,0,0,2,0,1,11,4,21,25,50
70,2017,3,Colo.,0,0,1,0,0,1,0,3,2,0,26,15,27,48,48
71,2017,3,Idaho,0,0,1,0,0,0,0,1,0,0,0,1,8,1,3
72,2017,3,Mont.,0,0,1,0,0,0,0,6,0,0,0,0,3,0,1
73,2017,3,Nev.,0,0,2,0,1,0,0,1,0,0,0,0,3,0,2
74,2017,3,N. Mex.,0,0,1,0,0,0,0,1,0,0,0,3,8,3,8
75,2017,3,Utah,0,0,1,0,0,0,0,1,0,0,0,4,10,1,15
76,2017,3,Wyo.,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
77,2017,3,PACIFIC,2,2,7,5,9,0,2,52,14,0,7,39,64,18,77
78,2017,3,Alaska,0,0,2,0,0,0,0,2,1,0,0,2,10,1,8
79,2017,3,Calif.,1,1,6,1,6,0,1,9,4,0,6,24,36,13,52
80,2017,3,Hawaii,0,0,1,0,0,0,0,3,0,0,0,1,5,2,7
81,2017,3,Oreg.,1,0,3,4,3,0,0,6,3,0,1,3,13,2,10
82,2017,3,Wash.,0,0,1,0,0,0,0,49,6,0,0,9,35,0,0
83,2017,3,Amer. Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2017,3,C.N.M.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2017,3,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2017,3,P.R.,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
87,2017,3,V.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2017,4,UNITED STATES,4,6,20,26,28,108,83,403,495,198,98,318,468,531,"1,299"
22,2017,4,NEW ENGLAND,0,0,2,0,2,0,3,38,3,2,10,15,69,63,61
23,2017,4,Conn.,0,0,1,0,0,0,0,12,0,0,0,1,6,5,4
24,2017,4,Maine,0,0,1,0,0,0,0,4,0,0,4,4,14,26,24
25,2017,4,Mass.,0,0,2,0,2,0,2,28,2,2,0,4,9,4,13
26,2017,4,N.H.,0,0,0,0,0,0,0,5,1,0,0,1,4,0,4
27,2017,4,R.I.,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0
28,2017,4,Vt.,0,0,0,0,0,0,0,0,0,0,6,3,45,28,16
29,2017,4,MID. ATLANTIC,0,0,4,1,0,3,6,32,28,5,16,54,90,95,257
30,2017,4,N.J.,0,0,2,0,0,0,0,3,0,1,0,7,24,1,66
31,2017,4,N.Y. (Upstate),0,0,1,0,0,2,2,23,9,1,9,13,34,26,38
32,2017,4,N.Y. City,0,0,2,0,0,0,2,19,18,3,0,5,14,0,33
33,2017,4,Pa.,0,0,2,1,0,1,0,2,1,0,7,24,77,68,120
34,2017,4,E.N. CENTRAL,1,0,6,4,5,5,9,55,24,49,24,70,156,120,311
35,2017,4,Ill.,0,0,2,0,2,0,3,25,5,38,0,18,37,7,67
36,2017,4,Ind.,0,0,2,0,1,0,2,23,3,2,0,2,9,0,19
37,2017,4,Mich.,0,0,1,0,0,1,0,2,1,3,1,7,29,15,34
38,2017,4,Ohio,1,0,3,4,1,3,1,20,3,3,23,18,38,77,98
39,2017,4,Wis.,0,0,1,0,1,1,0,13,12,3,0,23,99,21,93
40,2017,4,W.N. CENTRAL,0,0,1,0,1,15,15,45,81,126,8,29,55,31,113
41,2017,4,Iowa,0,0,1,0,0,0,9,40,8,117,0,2,11,0,8
42,2017,4,Kans.,0,0,1,0,0,0,0,2,1,2,0,2,8,0,5
43,2017,4,Minn.,0,0,1,0,0,0,0,3,0,7,0,14,34,0,49
44,2017,4,Mo.,0,0,1,0,0,15,0,29,71,0,7,4,27,20,20
45,2017,4,Nebr.,0,0,1,0,0,0,0,10,0,0,1,2,7,8,30
46,2017,4,N. Dak.,0,0,0,0,0,0,0,3,1,0,0,0,5,3,0
47,2017,4,S. Dak.,0,0,1,0,1,0,0,2,0,0,0,0,2,0,1
48,2017,4,S. ATLANTIC,1,1,4,9,4,1,2,8,4,11,9,25,43,48,130
49,2017,4,Del.,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4
50,2017,4,D.C.,0,0,0,0,0,0,0,2,0,0,1,0,2,1,0
51,2017,4,Fla.,0,0,3,5,1,1,0,2,2,0,3,6,16,12,34
52,2017,4,Ga.,0,0,3,0,1,0,0,2,0,0,0,2,18,0,20
53,2017,4,Md.,0,0,1,0,0,0,0,3,0,0,1,2,9,6,6
54,2017,4,N.C.,0,0,1,0,0,0,0,8,1,10,0,4,11,2,34
55,2017,4,S.C.,0,0,2,2,2,0,0,2,0,0,3,2,15,25,16
56,2017,4,Va.,1,0,2,2,0,0,0,2,1,1,0,3,10,1,13
57,2017,4,W. Va.,0,0,2,0,0,0,0,1,0,0,1,0,3,1,3
58,2017,4,E.S. CENTRAL,0,0,2,1,1,0,1,15,2,1,3,13,33,22,95
59,2017,4,Ala.,0,0,1,0,1,0,0,1,0,1,0,3,7,4,21
60,2017,4,Ky.,0,0,1,0,0,0,0,15,1,0,1,7,27,8,65
61,2017,4,Miss.,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
62,2017,4,Tenn.,0,0,1,1,0,0,0,1,1,0,2,3,5,9,8
63,2017,4,W.S. CENTRAL,0,0,3,1,4,70,2,333,322,1,6,27,105,20,51
64,2017,4,Ark.,0,0,1,0,1,42,0,248,260,0,0,1,5,5,6
65,2017,4,La.,0,0,1,1,1,0,0,0,0,0,0,1,5,2,6
66,2017,4,Okla.,0,0,1,0,1,13,0,81,32,0,0,0,54,0,0
67,2017,4,Tex.,0,0,3,0,1,15,1,54,30,1,6,21,97,13,39
68,2017,4,MOUNTAIN,2,0,3,4,2,10,1,6,13,2,13,30,49,95,179
69,2017,4,Ariz.,0,0,1,2,1,0,0,2,0,2,3,4,20,30,67
70,2017,4,Colo.,2,0,1,2,0,10,0,3,12,0,9,15,28,59,69
71,2017,4,Idaho,0,0,1,0,0,0,0,1,0,0,1,1,8,2,5
72,2017,4,Mont.,0,0,1,0,0,0,0,6,0,0,0,0,3,0,2
73,2017,4,Nev.,0,0,2,0,1,0,0,1,1,0,0,0,3,0,3
74,2017,4,N. Mex.,0,0,1,0,0,0,0,1,0,0,0,2,9,3,9
75,2017,4,Utah,0,0,1,0,0,0,0,1,0,0,0,4,10,1,21
76,2017,4,Wyo.,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
77,2017,4,PACIFIC,0,2,7,6,9,4,2,70,18,1,9,42,73,37,102
78,2017,4,Alaska,0,0,2,0,0,0,0,2,1,0,0,2,10,1,9
79,2017,4,Calif.,0,1,6,1,6,0,1,9,5,1,3,24,38,22,68
80,2017,4,Hawaii,0,0,1,0,0,0,0,3,0,0,0,1,5,3,7
81,2017,4,Oreg.,0,0,3,5,3,1,0,6,5,0,1,3,13,6,11
82,2017,4,Wash.,0,0,1,0,0,3,0,65,7,0,5,9,57,5,7
83,2017,4,Amer. Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2017,4,C.N.M.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2017,4,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2017,4,P.R.,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
87,2017,4,V.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2017,5,UNITED STATES,2,6,20,32,37,75,85,403,611,245,84,317,469,713,"1,634"
22,2017,5,NEW ENGLAND,0,0,2,0,2,0,3,38,3,3,8,15,69,81,75
23,2017,5,Conn.,0,0,1,0,0,0,0,12,0,1,0,1,6,5,4
24,2017,5,Maine,0,0,1,0,0,0,0,4,0,0,6,4,14,35,34
25,2017,5,Mass.,0,0,1,0,2,0,2,28,2,2,0,3,9,4,15
26,2017,5,N.H.,0,0,0,0,0,0,0,5,1,0,0,1,4,0,4
27,2017,5,R.I.,0,0,0,0,0,0,0,1,0,0,1,0,16,1,0
28,2017,5,Vt.,0,0,0,0,0,0,0,0,0,0,1,3,45,36,18
29,2017,5,MID. ATLANTIC,0,0,4,1,0,4,6,32,39,6,12,54,90,117,323
30,2017,5,N.J.,0,0,2,0,0,0,0,3,2,1,0,7,24,2,78
31,2017,5,N.Y. (Upstate),0,0,1,0,0,4,2,23,14,1,8,13,35,34,47
32,2017,5,N.Y. City,0,0,2,0,0,0,2,19,22,4,0,5,14,4,40
33,2017,5,Pa.,0,0,2,1,0,0,0,2,1,0,4,23,77,77,158
34,2017,5,E.N. CENTRAL,0,0,6,4,8,1,8,55,27,65,28,70,156,176,385
35,2017,5,Ill.,0,0,2,0,2,0,3,25,6,52,0,18,38,16,91
36,2017,5,Ind.,0,0,2,0,1,0,2,23,4,3,0,2,9,3,23
37,2017,5,Mich.,0,0,1,0,1,0,0,2,1,3,0,7,29,25,41
38,2017,5,Ohio,0,0,3,4,2,1,1,20,4,4,26,18,38,103,120
39,2017,5,Wis.,0,0,1,0,2,0,0,13,12,3,2,23,99,29,110
40,2017,5,W.N. CENTRAL,0,0,1,0,1,0,15,45,89,149,1,29,55,40,142
41,2017,5,Iowa,0,0,1,0,0,0,9,40,16,137,0,2,11,2,12
42,2017,5,Kans.,0,0,1,0,0,0,0,2,1,2,0,2,8,0,5
43,2017,5,Minn.,0,0,1,0,0,0,0,3,0,9,0,14,34,0,58
44,2017,5,Mo.,0,0,1,0,0,0,0,29,71,0,0,4,27,20,29
45,2017,5,Nebr.,0,0,1,0,0,0,0,10,0,1,1,2,6,9,36
46,2017,5,N. Dak.,0,0,0,0,0,0,0,3,1,0,0,0,5,9,0
47,2017,5,S. Dak.,0,0,0,0,1,0,0,2,0,0,0,0,2,0,2
48,2017,5,S. ATLANTIC,0,1,4,10,5,1,2,6,12,11,8,25,43,68,173
49,2017,5,Del.,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4
50,2017,5,D.C.,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2
51,2017,5,Fla.,0,0,3,5,2,0,0,2,2,0,7,6,16,19,44
52,2017,5,Ga.,0,0,3,1,1,0,0,3,5,0,0,2,18,0,38
53,2017,5,Md.,0,0,1,0,0,0,0,3,0,0,1,2,9,9,8
54,2017,5,N.C.,0,0,1,0,0,0,0,3,2,10,0,4,11,9,41
55,2017,5,S.C.,0,0,2,2,2,0,0,2,0,0,0,2,15,26,17
56,2017,5,Va.,0,0,2,2,0,1,0,2,3,1,0,3,11,2,16
57,2017,5,W. Va.,0,0,2,0,0,0,0,1,0,0,0,0,3,1,3
58,2017,5,E.S. CENTRAL,0,0,2,1,1,0,1,15,2,1,1,12,33,25,110
59,2017,5,Ala.,0,0,1,0,1,0,0,1,0,1,0,3,7,4,25
60,2017,5,Ky.,0,0,1,0,0,0,0,15,1,0,0,7,27,8,73
61,2017,5,Miss.,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1
